Rank,Player,Pos,Team,Gms,WPA,eWPA,cWPA,gbWPA,SH,TO,FT,REB,AST,STL,BLK,kWPA
1,Damian Lillard,G,POR,66,10.23,7.19,4.2,1.16,14.61,-4.38,1.36,2.66,17.34,1.84,0.49,32.56
2,James Harden,G,HOU,68,6.99,6.89,2.03,1.93,14.48,-7.5,2.2,3.89,15.48,3.16,0.91,30.43
3,Anthony Davis,F-C,LAL,61,6.87,4.62,3,0.75,10.25,-3.38,0.93,5.93,6.04,2.09,2.78,23.71
4,Duncan Robinson,F,MIA,71,6.24,5.52,1.63,0.9,7.73,-1.49,0.19,1.63,2.75,0.72,0.28,11.61
5,Giannis Antetokounmpo,F,MIL,61,5.91,4.53,2.32,0.93,11.24,-5.33,-1.5,7.14,10.54,1.36,1.15,26.1
6,Bojan Bogdanovic,F,UTA,61,5.68,3.13,2.87,0.32,9.16,-3.48,0.88,2.24,4.62,0.97,0.12,13.63
7,T.J. Warren,F,IND,66,5.54,5.04,1.56,1.06,8.03,-2.49,0.36,2.75,2.91,2.18,0.73,14.11
8,Davis Bertans,F,WAS,54,5.38,3.82,2.06,0.5,6.66,-1.28,0.38,2.2,3.14,0.78,0.41,11.91
9,DeMar DeRozan,G-F,SAS,68,5.14,3.49,2.65,1,8.86,-3.72,0.61,3.55,14.63,1.99,0.35,25.65
10,Donovan Mitchell,G,UTA,69,5.07,2.68,2.79,0.4,9.74,-4.67,0.88,2.95,10.46,1.66,0.24,20.38
11,Doug McDermott,F,IND,68,5.07,3.15,1.9,-0.01,5.98,-0.91,0.21,1.32,2.08,0.31,0.09,8.87
12,Chris Paul,G,OKC,70,5.07,2.73,2.68,0.35,9.38,-4.31,1.13,3.26,15.39,3.01,0.21,26.94
13,Danilo Gallinari,F,OKC,62,5.06,4.45,1.76,1.15,6.88,-1.82,1.03,2.97,3.4,1.31,0.11,12.85
14,Rudy Gobert,C,UTA,68,4.82,3.62,2.22,1.03,7.99,-3.17,-0.92,9.69,3.2,1.02,2.33,21.06
15,Jayson Tatum,F-G,BOS,66,4.8,3.13,2.1,0.43,8.62,-3.83,0.35,3.89,6.97,2.4,1.17,19.23
16,Tim Hardaway Jr.,G-F,DAL,69,4.71,3.91,1.26,0.47,6.61,-1.9,0.22,2.1,3.93,1,0.14,11.87
17,Terrence Ross,G-F,ORL,69,4.5,2.84,1.84,0.18,6.32,-1.82,0.51,1.84,2.48,1.9,0.4,11.12
18,JJ Redick,G,NOP,58,4.5,4.06,1.2,0.77,6.2,-1.7,0.45,1.21,3.71,0.51,0.16,10.09
19,Nikola Jokic,C,DEN,72,4.49,2.27,2.85,0.64,10.1,-5.61,0.54,7.56,15.48,2.23,0.77,30.53
20,Montrezl Harrell,F-C,LAC,63,4.31,3.48,1.62,0.79,6.77,-2.46,-0.87,5.15,3.37,1.01,1.16,14.99
21,Jerami Grant,F,DEN,70,4.22,2.84,1.67,0.29,5.78,-1.56,0.06,2.57,2.8,1.35,1.04,11.98
22,Devin Booker,G,PHX,70,3.95,3.92,1.51,1.49,10.38,-6.43,1.73,2.45,14.28,1.29,0.31,22.27
23,Norman Powell,G,TOR,52,3.89,2.95,1.43,0.49,5.69,-1.8,0.26,1.81,3.1,1.47,0.33,10.6
24,Brandon Clarke,F-G,MEM,56,3.89,3.1,1.38,0.6,5.06,-1.17,0.08,3.47,1.88,0.81,0.81,10.86
25,John Collins,F,ATL,40,3.87,3.77,1.03,0.94,5.35,-1.48,0.07,4.19,1.61,0.54,1.14,11.35
26,Hassan Whiteside,C,POR,65,3.83,3.32,1.66,1.16,6.54,-2.71,-0.11,9.04,2.82,0.62,4.16,20.47
27,Joe Harris,G-F,BKN,69,3.82,3.03,1.4,0.61,6.73,-2.9,0,3.31,4.6,0.95,0.4,13.09
28,Patty Mills,G,SAS,66,3.79,2.87,1.08,0.16,5.33,-1.54,0.07,1.19,4.15,1.44,0.09,10.65
29,Bradley Beal,G,WAS,56,3.79,3.43,2.07,1.71,8.79,-5,1.18,2.44,10.38,1.41,0.38,18.39
